Subject_ID,Group,Experimental_condition,achieve,adverb,affect,anger,anx,article,assent,auxverb,bio,body,cause,certain,cogmech,conj,death,discrep,excl,family,feel,filler,friend,funct,future,health,hear,home,humans,i,incl,ingest,inhib,insight,ipron,leisure,money,motion,negate,negemo,nonfl,number,past,percept,posemo,ppron,preps,present,pronoun,quant,relativ,relig,sad,see,sexual,shehe,social,space,tentat,they,time,verb,we,work,you
32,Analytic,1,18,17,65,1.0,3.0,88,0.0,42,18.0,9.0,7,9.0,126,51,0.0,9.0,12,0.0,5.0,1.0,3.0,436,6.0,3.0,9.0,1.0,6.0,51.0,56,4.0,1.0,22,34,10.0,2.0,28,2.0,6.0,0.0,6.0,43,35,59,60,128,18,94,20,135,3.0,1.0,11.0,2.0,0.0,53,65,11.0,6.0,39,71,3.0,5.0,0.0
33,Analytic,1,19,21,68,2.0,4.0,56,0.0,41,8.0,2.0,10,10.0,130,44,0.0,4.0,5,0.0,1.0,1.0,8.0,389,3.0,4.0,4.0,0.0,3.0,27.0,66,0.0,2.0,28,38,8.0,0.0,29,0.0,9.0,0.0,4.0,48,14,59,70,101,9,108,27,99,3.0,1.0,5.0,2.0,4.0,89,43,5.0,2.0,28,65,37.0,10.0,0.0
34,Analytic,1,16,16,61,1.0,12.0,72,0.0,28,6.0,1.0,3,4.0,131,63,0.0,7.0,12,0.0,3.0,1.0,4.0,421,4.0,1.0,4.0,4.0,7.0,45.0,65,2.0,6.0,26,25,11.0,3.0,12,3.0,13.0,0.0,4.0,42,18,47,90,125,15,115,15,110,3.0,1.0,8.0,2.0,24.0,94,72,14.0,3.0,24,62,18.0,7.0,0.0
35,Analytic,1,13,13,65,0.0,3.0,60,0.0,21,12.0,7.0,9,9.0,113,56,0.0,2.0,8,0.0,5.0,1.0,8.0,316,0.0,3.0,4.0,0.0,7.0,0.0,52,1.0,3.0,23,21,5.0,1.0,16,2.0,5.0,0.0,4.0,30,22,60,60,92,12,81,5,92,1.0,2.0,8.0,2.0,42.0,103,50,6.0,12.0,23,44,6.0,4.0,0.0
36,Analytic,1,8,12,41,1.0,3.0,56,0.0,20,8.0,1.0,8,2.0,106,39,0.0,2.0,9,0.0,6.0,0.0,2.0,294,0.0,4.0,5.0,0.0,7.0,38.0,51,3.0,4.0,23,23,12.0,2.0,16,2.0,4.0,0.0,2.0,35,23,37,48,95,1,71,8,99,6.0,0.0,4.0,0.0,4.0,41,56,13.0,1.0,24,40,5.0,1.0,0.0
37,Analytic,1,14,14,65,1.0,3.0,60,0.0,35,7.0,1.0,11,10.0,117,40,1.0,6.0,6,1.0,6.0,2.0,5.0,354,3.0,4.0,2.0,1.0,4.0,31.0,53,0.0,4.0,18,46,13.0,3.0,15,2.0,5.0,0.0,2.0,40,18,58,64,90,23,110,14,87,3.0,0.0,5.0,2.0,0.0,72,31,6.0,5.0,40,69,28.0,3.0,0.0
38,Analytic,1,13,14,43,8.0,2.0,38,0.0,20,0.0,0.0,3,5.0,102,41,0.0,8.0,4,0.0,2.0,0.0,0.0,278,1.0,0.0,3.0,1.0,9.0,45.0,40,0.0,4.0,34,29,4.0,2.0,12,1.0,12.0,0.0,1.0,20,7,29,56,82,13,85,9,71,3.0,3.0,1.0,0.0,0.0,48,40,12.0,7.0,16,35,2.0,7.0,0.0
39,Analytic,1,20,9,48,2.0,2.0,44,0.0,34,4.0,0.0,9,6.0,112,45,0.0,4.0,8,0.0,3.0,0.0,1.0,349,4.0,3.0,2.0,0.0,7.0,52.0,49,0.0,3.0,25,39,1.0,6.0,25,2.0,6.0,0.0,2.0,34,13,39,61,113,15,100,13,109,0.0,1.0,1.0,1.0,4.0,46,51,9.0,2.0,33,64,2.0,8.0,0.0
40,Analytic,1,8,15,50,0.0,7.0,52,0.0,25,7.0,2.0,4,5.0,104,51,0.0,6.0,10,0.0,6.0,0.0,3.0,323,1.0,2.0,4.0,0.0,4.0,58.0,45,3.0,4.0,30,22,0.0,1.0,16,3.0,10.0,0.0,2.0,29,15,39,64,95,15,86,9,93,0.0,5.0,3.0,0.0,0.0,40,49,10.0,5.0,25,50,1.0,5.0,0.0
41,Analytic,1,8,13,41,0.0,6.0,54,0.0,31,10.0,2.0,8,8.0,128,51,0.0,5.0,20,1.0,5.0,1.0,2.0,334,2.0,7.0,3.0,1.0,7.0,58.0,39,0.0,1.0,46,33,8.0,0.0,10,5.0,8.0,0.0,1.0,24,12,33,60,89,21,93,9,76,0.0,3.0,4.0,1.0,0.0,30,50,17.0,2.0,15,53,0.0,5.0,0.0
