LIWC Feature,Extraversion correlation,Agreeableness correlation,Conscientiousness correlation,Neuroticism correlation,Openness correlation,Extraversion p-value,Agreeableness p-value,Conscientiousness p-value,Neuroticism p-value,Openness p-value
death,-0.02141273622895118,-0.02141273622895118,-0.02141273622895118,-0.02141273622895118,-0.02141273622895118,0.8089254501992407,0.8089254501992407,0.8089254501992407,0.8089254501992407,0.8089254501992407
discrep,-0.7258803198390783,-0.7258803198390783,-0.7258803198390783,-0.7258803198390783,-0.7258803198390783,1.5154047426123046e-22,1.5154047426123046e-22,1.5154047426123046e-22,1.5154047426123046e-22,1.5154047426123046e-22
excl,-0.5049610698525189,-0.5049610698525189,-0.5049610698525189,-0.5049610698525189,-0.5049610698525189,8.984457756046577e-10,8.984457756046577e-10,8.984457756046577e-10,8.984457756046577e-10,8.984457756046577e-10
family,-0.024077170617153865,-0.024077170617153865,-0.024077170617153865,-0.024077170617153865,-0.024077170617153865,0.7856912074873323,0.7856912074873323,0.7856912074873323,0.7856912074873323,0.7856912074873323
feel,0.16262464945909685,0.16262464945909685,0.16262464945909685,0.16262464945909685,0.16262464945909685,0.0645121088353135,0.0645121088353135,0.0645121088353135,0.0645121088353135,0.0645121088353135
filler,-0.13659903035269536,-0.13659903035269536,-0.13659903035269536,-0.13659903035269536,-0.13659903035269536,0.12121360771231518,0.12121360771231518,0.12121360771231518,0.12121360771231518,0.12121360771231518
friend,0.19807479836347325,0.19807479836347325,0.19807479836347325,0.19807479836347325,0.19807479836347325,0.023882203503025605,0.023882203503025605,0.023882203503025605,0.023882203503025605,0.023882203503025605
funct,-0.4999321014877158,-0.4999321014877158,-0.4999321014877158,-0.4999321014877158,-0.4999321014877158,1.3979791035103096e-09,1.3979791035103096e-09,1.3979791035103096e-09,1.3979791035103096e-09,1.3979791035103096e-09
future,-0.35075786100109846,-0.35075786100109846,-0.35075786100109846,-0.35075786100109846,-0.35075786100109846,4.287842019559945e-05,4.287842019559945e-05,4.287842019559945e-05,4.287842019559945e-05,4.287842019559945e-05
health,0.06296349175910107,0.06296349175910107,0.06296349175910107,0.06296349175910107,0.06296349175910107,0.47667084215321676,0.47667084215321676,0.47667084215321676,0.47667084215321676,0.47667084215321676
hear,-0.4111786668786874,-0.4111786668786874,-0.4111786668786874,-0.4111786668786874,-0.4111786668786874,1.176344673047753e-06,1.176344673047753e-06,1.176344673047753e-06,1.176344673047753e-06,1.176344673047753e-06
home,-0.25063165013186106,-0.25063165013186106,-0.25063165013186106,-0.25063165013186106,-0.25063165013186106,0.00402630358903449,0.00402630358903449,0.00402630358903449,0.00402630358903449,0.00402630358903449
humans,0.20860578811295885,0.20860578811295885,0.20860578811295885,0.20860578811295885,0.20860578811295885,0.017229870927438412,0.017229870927438412,0.017229870927438412,0.017229870927438412,0.017229870927438412
i,-0.46515200316482563,-0.46515200316482563,-0.46515200316482563,-0.46515200316482563,-0.46515200316482563,2.4646914336840533e-08,2.4646914336840533e-08,2.4646914336840533e-08,2.4646914336840533e-08,2.4646914336840533e-08
incl,0.7140088219616237,0.7140088219616237,0.7140088219616237,0.7140088219616237,0.7140088219616237,1.4929029853570472e-21,1.4929029853570472e-21,1.4929029853570472e-21,1.4929029853570472e-21,1.4929029853570472e-21
ingest,0.08282740449975577,0.08282740449975577,0.08282740449975577,0.08282740449975577,0.08282740449975577,0.3488265815073605,0.3488265815073605,0.3488265815073605,0.3488265815073605,0.3488265815073605
inhib,-0.48729918116181287,-0.48729918116181287,-0.48729918116181287,-0.48729918116181287,-0.48729918116181287,4.114700437077868e-09,4.114700437077868e-09,4.114700437077868e-09,4.114700437077868e-09,4.114700437077868e-09
insight,-0.6044313287336535,-0.6044313287336535,-0.6044313287336535,-0.6044313287336535,-0.6044313287336535,2.6501412000345476e-14,2.6501412000345476e-14,2.6501412000345476e-14,2.6501412000345476e-14,2.6501412000345476e-14
ipron,-0.08662496838461536,-0.08662496838461536,-0.08662496838461536,-0.08662496838461536,-0.08662496838461536,0.32709548317120024,0.32709548317120024,0.32709548317120024,0.32709548317120024,0.32709548317120024
leisure,0.4343357790590726,0.4343357790590726,0.4343357790590726,0.4343357790590726,0.4343357790590726,2.430630936983093e-07,2.430630936983093e-07,2.430630936983093e-07,2.430630936983093e-07,2.430630936983093e-07
