LIWC Feature,Extraversion correlation,Agreeableness correlation,Conscientiousness correlation,Neuroticism correlation,Openness correlation,Writing_Extraversion correlation,Writing_Agreeableness correlation,Writing_Conscientiousness correlation,Writing_Neuroticism correlation,Writing_Openness correlation,Word_Length correlation,Story correlation,Extraversion p-value,Agreeableness p-value,Conscientiousness p-value,Neuroticism p-value,Openness p-value,Writing_Extraversion p-value,Writing_Agreeableness p-value,Writing_Conscientiousness p-value,Writing_Neuroticism p-value,Writing_Openness p-value,Word_Length p-value,Story p-value
death,-0.009510394915883826,0.11567986815383217,0.06892254544668343,0.025989333809774837,-0.027317685960232346,0.0031764621700704123,0.1181272890736076,0.07293099573440022,-0.0008655579622514465,-0.012413632933456336,0.11943822076984716,0.052887711668346035,0.9144793328698291,0.18998639022945824,0.4358764427866667,0.7691311117026539,0.7576875222347232,0.9713879815325607,0.18071989953519235,0.4095936182091462,0.9922019476457776,0.8885212548529939,0.17589496661572454,0.5501020929327843
discrep,0.0036620181178474626,0.022157405166546608,-0.16262612370030657,-0.10353949594916927,-0.03928699479891103,-0.028441358922489085,0.012620206146468084,-0.1322547605159085,-0.011380775218371181,-0.0026091074412350292,0.08299110631221517,0.16806336571114067,0.9670166304757515,0.8024141043457382,0.0645096545803819,0.24108313523777603,0.6571974802164413,0.7480479134981489,0.8866784314054313,0.1336223183121391,0.897744036994548,0.9764968157469904,0.3478715317585386,0.05596242081318855
excl,0.10250568766348551,-0.1250690674982319,0.029349651371227792,0.06388016514875941,-0.016892849540631766,0.031008950535166065,-0.10994762770777482,-0.006236227771106681,0.20978142755846776,-0.028307486015649804,0.1911168822474115,-0.0371655119642956,0.24583856889816927,0.15624694013364077,0.7402842518833844,0.4702641267469375,0.8487124688573366,0.726169122397012,0.21303345486126832,0.9438610590747012,0.016597975448750874,0.7491943563543244,0.02939557845372124,0.674628314925822
family,-0.07241167906108628,0.16519052299677084,-0.027457629853001538,0.19104188062724015,-0.039780687563702705,-0.09550114300045878,0.1312587465199821,-0.005347522898447007,0.22899359625646204,-0.051750467773196696,0.2664103662223585,-0.2400957601367303,0.4129452132066659,0.060354393965093366,0.7564849246552237,0.029460457442700805,0.6531669961826834,0.27976984325514226,0.1365995939853346,0.9518508376560293,0.00877673625003368,0.5587229830308351,0.0021856172025416266,0.005933388652866318
feel,0.048693470163890536,-0.17682895913287952,-0.1166170094889723,0.0331953050290511,-0.13308615103265195,0.06510561848435908,-0.177976353658197,-0.11431580920611818,0.03135472102397996,-0.11561226449367766,0.08033632135794784,-0.016040515375590644,0.5822128217039073,0.044159191027192506,0.18639812473782322,0.707710596070215,0.13117534202923298,0.4617732416172252,0.04278041168123875,0.19529877214799785,0.7232391150276767,0.190247172292867,0.3635623583676195,0.8562613963691162
filler,-0.0034749930882043505,-0.059110340987711056,-0.011909437005490176,-0.05606016536351401,0.027665644302887586,-0.037242113535942006,-0.11167515663590884,-0.02012329217880124,-0.005883977684201434,-0.011281064207369722,0.1813399919830273,-0.08399545834126651,0.9687002659133017,0.5041101010921267,0.8930216286055614,0.5264010794708311,0.7546984450384985,0.6739958479245634,0.20588715179400455,0.8202310159370942,0.9470272917051976,0.8986351378922369,0.038944178447937065,0.3420480778068229
friend,0.059961535915758986,-0.021346620827766637,-0.023227026750540437,0.029185066295609224,-0.10626626274142228,0.04826653678556165,-0.03900656658617607,-0.0462902424936984,-0.025837221099571567,-0.09139789194235472,-0.032461582671795025,-0.034785013646155515,0.4979785210883404,0.8095041993140629,0.793085171688118,0.7416891367071694,0.22884852747213644,0.585529284659916,0.6594912877988819,0.6009930756868664,0.7704447734483588,0.30104361631549836,0.7138868473955919,0.6943943858166766
funct,-0.045391329308159346,0.015073550666537646,-0.035933813529972755,0.1372859044907984,-0.0663085250988521,-0.15673812082271604,-0.03505631323591438,-0.06868238113094655,0.24927654354836182,-0.07763334487135583,0.880100765700129,-0.17365719524087728,0.6080865314218222,0.8648413065605284,0.6848288636072466,0.11933600216607568,0.45352152148202673,0.07493639235668942,0.692130989746188,0.43748108759002047,0.00423598642964071,0.3799799355204885,3.11766752364074e-43,0.04816461285360382
future,0.002899139398030173,0.1500063908153068,-0.02271849858337387,-0.04187804183023558,0.05164422078323239,-0.01439315763458585,0.08475421403588672,-0.023706416789178508,-0.012104108677663742,0.006678045879103233,0.13192190198632056,0.012809788565164704,0.9738850456289676,0.08848015904009068,0.7975168476923591,0.6361567132422261,0.5595316902439178,0.8708879701428832,0.3376897576676968,0.7889134618935533,0.891283608302428,0.9398909806966739,0.13461172496994647,0.8849877139629527
health,-0.12483162248440574,0.07305666046509633,0.057510513558687464,0.07872372709240319,0.07955861794202396,-0.13196942890448762,0.11886595273370985,0.038126838412741094,0.0897332749275363,0.04325489466333449,0.24350233785922742,-0.03197232548266914,0.15704075865223935,0.40878500517641037,0.5157400898283182,0.3733036129906716,0.3682404813361815,0.13447011187820196,0.17798941345921948,0.666707640663621,0.30996991151308156,0.6250914608684071,0.005243388497568975,0.7180156148154463
