LIWC Feature,Extraversion correlation,Agreeableness correlation,Conscientiousness correlation,Neuroticism correlation,Openness correlation,Extraversion p-value,Agreeableness p-value,Conscientiousness p-value,Neuroticism p-value,Openness p-value
death,-1.0655268550050051e-18,-1.0655268550050051e-18,-1.0655268550050051e-18,-1.0655268550050051e-18,-1.0655268550050051e-18,1.0000000000000009,1.0000000000000009,1.0000000000000009,1.0000000000000009,1.0000000000000009
discrep,-0.054851792543891886,-0.054851792543891886,-0.054851792543891886,-0.054851792543891886,-0.054851792543891886,0.53536756714129,0.53536756714129,0.53536756714129,0.53536756714129,0.53536756714129
excl,0.012765698552514266,0.012765698552514266,0.012765698552514266,0.012765698552514266,0.012765698552514266,0.8853808677872729,0.8853808677872729,0.8853808677872729,0.8853808677872729,0.8853808677872729
family,7.59842558093058e-18,7.59842558093058e-18,7.59842558093058e-18,7.59842558093058e-18,7.59842558093058e-18,1.0000000000000009,1.0000000000000009,1.0000000000000009,1.0000000000000009,1.0000000000000009
feel,-0.031192528629172458,-0.031192528629172458,-0.031192528629172458,-0.031192528629172458,-0.031192528629172458,0.7246130129240457,0.7246130129240457,0.7246130129240457,0.7246130129240457,0.7246130129240457
filler,-0.02421087506220792,-0.02421087506220792,-0.02421087506220792,-0.02421087506220792,-0.02421087506220792,0.7845300567851905,0.7845300567851905,0.7845300567851905,0.7845300567851905,0.7845300567851905
friend,0.01003861136882447,0.01003861136882447,0.01003861136882447,0.01003861136882447,0.01003861136882447,0.9097489756062458,0.9097489756062458,0.9097489756062458,0.9097489756062458,0.9097489756062458
funct,-0.013530726098845793,-0.013530726098845793,-0.013530726098845793,-0.013530726098845793,-0.013530726098845793,0.878563099878752,0.878563099878752,0.878563099878752,0.878563099878752,0.878563099878752
future,-3.2750638536921934e-18,-3.2750638536921934e-18,-3.2750638536921934e-18,-3.2750638536921934e-18,-3.2750638536921934e-18,1.0000000000000009,1.0000000000000009,1.0000000000000009,1.0000000000000009,1.0000000000000009
health,-0.004099979315656544,-0.004099979315656544,-0.004099979315656544,-0.004099979315656544,-0.004099979315656544,0.9630746006124421,0.9630746006124421,0.9630746006124421,0.9630746006124421,0.9630746006124421
hear,-0.00810098072358585,-0.00810098072358585,-0.00810098072358585,-0.00810098072358585,-0.00810098072358585,0.9271153252303407,0.9271153252303407,0.9271153252303407,0.9271153252303407,0.9271153252303407
home,-0.013868838511914044,-0.013868838511914044,-0.013868838511914044,-0.013868838511914044,-0.013868838511914044,0.8755527147264259,0.8755527147264259,0.8755527147264259,0.8755527147264259,0.8755527147264259
humans,0.025802931508560494,0.025802931508560494,0.025802931508560494,0.025802931508560494,0.025802931508560494,0.7707409921064845,0.7707409921064845,0.7707409921064845,0.7707409921064845,0.7707409921064845
i,0.005478821514260187,0.005478821514260187,0.005478821514260187,0.005478821514260187,0.005478821514260187,0.9506700951727043,0.9506700951727043,0.9506700951727043,0.9506700951727043,0.9506700951727043
incl,-0.004566522144165399,-0.004566522144165399,-0.004566522144165399,-0.004566522144165399,-0.004566522144165399,0.9588762946008971,0.9588762946008971,0.9588762946008971,0.9588762946008971,0.9588762946008971
ingest,-0.004867866159314711,-0.004867866159314711,-0.004867866159314711,-0.004867866159314711,-0.004867866159314711,0.9561651645179061,0.9561651645179061,0.9561651645179061,0.9561651645179061,0.9561651645179061
inhib,0.014265511030964226,0.014265511030964226,0.014265511030964226,0.014265511030964226,0.014265511030964226,0.8720232097555679,0.8720232097555679,0.8720232097555679,0.8720232097555679,0.8720232097555679
