LIWC Feature,Extraversion correlation,Agreeableness correlation,Conscientiousness correlation,Neuroticism correlation,Openness correlation,Extraversion p-value,Agreeableness p-value,Conscientiousness p-value,Neuroticism p-value,Openness p-value
inhib,-0.19569425825270398,-0.19569425825270398,-0.19569425825270398,-0.19569425825270398,-0.19569425825270398,0.02565938411805629,0.02565938411805629,0.02565938411805629,0.02565938411805629,0.02565938411805629
insight,-0.034545823833767565,-0.034545823833767565,-0.034545823833767565,-0.034545823833767565,-0.034545823833767565,0.6963921337176601,0.6963921337176601,0.6963921337176601,0.6963921337176601,0.6963921337176601
ipron,-0.06763015753468851,-0.06763015753468851,-0.06763015753468851,-0.06763015753468851,-0.06763015753468851,0.4445509396683396,0.4445509396683396,0.4445509396683396,0.4445509396683396,0.4445509396683396
leisure,0.07938225007612264,0.07938225007612264,0.07938225007612264,0.07938225007612264,0.07938225007612264,0.3693065161133625,0.3693065161133625,0.3693065161133625,0.3693065161133625,0.3693065161133625
money,0.017043047583021793,0.017043047583021793,0.017043047583021793,0.017043047583021793,0.017043047583021793,0.8473835988471797,0.8473835988471797,0.8473835988471797,0.8473835988471797,0.8473835988471797
motion,0.15414176941611363,0.15414176941611363,0.15414176941611363,0.15414176941611363,0.15414176941611363,0.07994712817825933,0.07994712817825933,0.07994712817825933,0.07994712817825933,0.07994712817825933
negate,-0.09231415820395289,-0.09231415820395289,-0.09231415820395289,-0.09231415820395289,-0.09231415820395289,0.2962031887673681,0.2962031887673681,0.2962031887673681,0.2962031887673681,0.2962031887673681
negemo,-0.19313571043633768,-0.19313571043633768,-0.19313571043633768,-0.19313571043633768,-0.19313571043633768,0.027694305463796923,0.027694305463796923,0.027694305463796923,0.027694305463796923,0.027694305463796923
nonfl,0.04853250811994428,0.04853250811994428,0.04853250811994428,0.04853250811994428,0.04853250811994428,0.5834621732501898,0.5834621732501898,0.5834621732501898,0.5834621732501898,0.5834621732501898
number,0.005372540736689047,0.005372540736689047,0.005372540736689047,0.005372540736689047,0.005372540736689047,0.9516258490505228,0.9516258490505228,0.9516258490505228,0.9516258490505228,0.9516258490505228
past,-0.0697461210096936,-0.0697461210096936,-0.0697461210096936,-0.0697461210096936,-0.0697461210096936,0.4303993073513523,0.4303993073513523,0.4303993073513523,0.4303993073513523,0.4303993073513523
percept,-0.02389958722668156,-0.02389958722668156,-0.02389958722668156,-0.02389958722668156,-0.02389958722668156,0.787234151432654,0.787234151432654,0.787234151432654,0.787234151432654,0.787234151432654
posemo,0.18864186382654866,0.18864186382654866,0.18864186382654866,0.18864186382654866,0.18864186382654866,0.031601770986158406,0.031601770986158406,0.031601770986158406,0.031601770986158406,0.031601770986158406
ppron,-0.08744452730350322,-0.08744452730350322,-0.08744452730350322,-0.08744452730350322,-0.08744452730350322,0.3225221750426211,0.3225221750426211,0.3225221750426211,0.3225221750426211,0.3225221750426211
preps,-0.012803092068310467,-0.012803092068310467,-0.012803092068310467,-0.012803092068310467,-0.012803092068310467,0.8850474253087453,0.8850474253087453,0.8850474253087453,0.8850474253087453,0.8850474253087453
present,0.010250440170411998,0.010250440170411998,0.010250440170411998,0.010250440170411998,0.010250440170411998,0.9078528553666404,0.9078528553666404,0.9078528553666404,0.9078528553666404,0.9078528553666404
pronoun,-0.10803182403678384,-0.10803182403678384,-0.10803182403678384,-0.10803182403678384,-0.10803182403678384,0.22116357113231674,0.22116357113231674,0.22116357113231674,0.22116357113231674,0.22116357113231674
quant,-0.051168017788462104,-0.051168017788462104,-0.051168017788462104,-0.051168017788462104,-0.051168017788462104,0.5631632249456792,0.5631632249456792,0.5631632249456792,0.5631632249456792,0.5631632249456792
relativ,0.031305912095543356,0.031305912095543356,0.031305912095543356,0.031305912095543356,0.031305912095543356,0.7236524727848326,0.7236524727848326,0.7236524727848326,0.7236524727848326,0.7236524727848326
relig,0.12403473458920847,0.12403473458920847,0.12403473458920847,0.12403473458920847,0.12403473458920847,0.1597269761394934,0.1597269761394934,0.1597269761394934,0.1597269761394934,0.1597269761394934
sad,-0.11302181129563219,-0.11302181129563219,-0.11302181129563219,-0.11302181129563219,-0.11302181129563219,0.2004370125937287,0.2004370125937287,0.2004370125937287,0.2004370125937287,0.2004370125937287
see,-0.07718203784471549,-0.07718203784471549,-0.07718203784471549,-0.07718203784471549,-0.07718203784471549,0.3827643416440377,0.3827643416440377,0.3827643416440377,0.3827643416440377,0.3827643416440377
