Subject_ID,Group,Experimental_condition,achieve,adverb,affect,anger,anx,article,assent,auxverb,bio,body,cause,certain,cogmech,conj,death,discrep,excl,family,feel,filler,friend,funct,future,health,hear,home,humans,i,incl,ingest,inhib,insight,ipron,leisure,money,motion,negate,negemo,nonfl,number,past,percept,posemo,ppron,preps,present,pronoun,quant,relativ,relig,sad,see,sexual,shehe,social,space,swear,tentat,they,time,verb,we,work,you
77,Creative,1,14,16,61,7.0,8,63,0.0,27,17.0,5.0,5,3,105,43,0.0,8.0,9,0.0,5,0.0,4.0,397,2.0,7.0,5,0.0,1,72.0,44,5.0,6.0,26,16,10.0,5.0,18,2.0,19,0.0,5.0,39,28,41,100,127,6,116,13,122,0.0,3.0,11.0,0.0,15.0,43,72,0.0,11,5.0,30,52,8.0,13,0.0
78,Creative,1,11,26,60,11.0,6,49,0.0,40,12.0,5.0,5,8,123,43,1.0,8.0,17,0.0,2,1.0,3.0,411,1.0,3.0,10,2.0,4,78.0,43,4.0,6.0,30,26,3.0,0.0,14,7.0,24,1.0,3.0,50,28,35,109,120,14,135,7,114,1.0,5.0,14.0,0.0,15.0,60,76,0.0,7,9.0,21,71,2.0,10,5.0
79,Creative,1,29,12,35,4.0,5,41,0.0,27,8.0,6.0,11,5,134,45,2.0,10.0,9,0.0,4,1.0,4.0,351,0.0,1.0,7,0.0,3,71.0,53,1.0,7.0,37,27,2.0,3.0,12,2.0,12,0.0,3.0,42,16,19,93,101,9,120,10,102,0.0,0.0,3.0,0.0,10.0,47,50,0.0,14,4.0,38,58,6.0,38,2.0
80,Creative,1,11,15,48,2.0,2,51,0.0,23,11.0,2.0,3,6,110,38,0.0,5.0,11,0.0,6,1.0,2.0,354,2.0,4.0,3,1.0,5,62.0,43,5.0,9.0,26,23,11.0,4.0,14,3.0,8,0.0,2.0,35,20,40,87,102,12,110,19,102,0.0,4.0,7.0,0.0,17.0,58,61,0.0,11,3.0,26,51,5.0,5,0.0
81,Creative,1,6,19,50,3.0,8,52,0.0,32,11.0,5.0,3,6,115,47,0.0,5.0,12,0.0,6,1.0,2.0,399,3.0,3.0,5,0.0,6,81.0,42,2.0,5.0,35,29,15.0,5.0,16,4.0,14,0.0,3.0,32,19,32,94,125,25,123,11,107,1.0,4.0,5.0,1.0,9.0,47,60,0.0,9,1.0,30,64,3.0,10,0.0
82,Creative,1,10,22,53,8.0,7,48,0.0,37,7.0,1.0,9,4,137,47,0.0,13.0,14,0.0,6,0.0,1.0,390,5.0,3.0,1,0.0,2,74.0,44,3.0,5.0,44,39,10.0,6.0,16,0.0,22,2.0,1.0,38,17,30,85,114,19,124,15,93,1.0,3.0,3.0,0.0,6.0,34,55,0.0,20,3.0,18,67,2.0,10,0.0
83,Creative,1,7,22,49,3.0,3,62,0.0,37,15.0,9.0,5,7,121,48,2.0,11.0,12,0.0,5,1.0,2.0,443,3.0,6.0,6,10.0,1,77.0,49,0.0,5.0,27,41,11.0,2.0,19,5.0,10,0.0,2.0,44,27,38,101,120,15,142,20,132,2.0,3.0,13.0,0.0,10.0,37,82,0.0,9,1.0,32,70,9.0,4,4.0
84,Creative,1,6,13,51,3.0,4,67,0.0,26,13.0,4.0,4,4,104,46,0.0,4.0,12,0.0,9,1.0,1.0,390,0.0,5.0,6,0.0,10,68.0,52,4.0,3.0,22,33,12.0,5.0,16,3.0,17,0.0,1.0,49,24,33,82,120,7,115,13,124,0.0,9.0,6.0,0.0,6.0,46,73,0.0,7,8.0,36,58,0.0,7,0.0
85,Creative,1,8,12,61,4.0,4,61,0.0,34,8.0,1.0,1,10,99,41,0.0,6.0,8,0.0,3,1.0,6.0,364,2.0,2.0,2,1.0,11,63.0,35,4.0,2.0,34,27,14.0,7.0,11,4.0,15,0.0,3.0,43,13,45,78,110,5,105,7,89,0.0,6.0,4.0,1.0,11.0,54,53,0.0,4,2.0,25,52,2.0,11,0.0
86,Creative,1,7,15,38,4.0,2,53,0.0,28,6.0,2.0,12,7,127,39,0.0,8.0,13,0.0,3,1.0,0.0,363,4.0,3.0,4,2.0,7,78.0,36,0.0,4.0,38,35,5.0,1.0,16,4.0,12,0.0,1.0,22,11,24,82,103,24,117,12,102,0.0,2.0,2.0,1.0,0.0,37,57,0.0,12,4.0,24,53,0.0,7,0.0
