LIWC Feature,Extraversion correlation,Agreeableness correlation,Conscientiousness correlation,Neuroticism correlation,Openness correlation,Writing_Extraversion correlation,Writing_Agreeableness correlation,Writing_Conscientiousness correlation,Writing_Neuroticism correlation,Writing_Openness correlation,Word_Length correlation,Story correlation,Extraversion p-value,Agreeableness p-value,Conscientiousness p-value,Neuroticism p-value,Openness p-value,Writing_Extraversion p-value,Writing_Agreeableness p-value,Writing_Conscientiousness p-value,Writing_Neuroticism p-value,Writing_Openness p-value,Word_Length p-value,Story p-value
motion,0.23480654166981837,0.1683120416310607,0.1869366999131492,0.055987592426851626,0.23845082643453436,0.20729450131639088,0.16005152305387352,0.086858999099369,0.024236191922274025,0.26683978266067077,0.16519090617331467,-0.21883946620319272,0.007165507587828542,0.05559495001535455,0.03320206096223773,0.5269374446560342,0.006294649127187226,0.01795917680668838,0.06891325677425922,0.3257853187866603,0.7843102468400229,0.002148467952911772,0.06035378986936978,0.012368475164466536
negate,-0.2896294131668827,-0.3504460999142093,-0.32222545668456054,-0.17327254457993282,-0.33474534041556697,-0.2533310202690412,-0.32884682955413735,-0.26896837661927453,-0.0425062878341244,-0.3292887037074523,0.21455324044332583,0.11366547017922662,0.0008307962608705456,4.360275343873243e-05,0.00018499104429729003,0.048670254813944706,9.911845552811058e-05,0.003636147077422746,0.0001334395846335192,0.0019726304381677503,0.6310975839689151,0.00013052734752354655,0.014235176084148343,0.19786909642268033
negemo,-0.5307639749913922,-0.5638265133293865,-0.5268646755175062,-0.2794469253541942,-0.5416672463498902,-0.5569972932058126,-0.603210907677995,-0.2988682557476873,-0.18340434858435561,-0.5197469797000868,0.32273452389004254,0.06050294140708641,8.272116640233611e-11,2.8556473710266855e-12,1.2016659248133687e-10,0.0012827642354413258,2.8380788942795604e-11,5.901013740182964e-12,3.0802299688415816e-14,0.0005523297405482469,0.0367359915979711,2.3471363499183895e-10,0.00018045070165433963,0.4940990130826066
nonfl,-0.2340859622068278,-0.14665127203149195,-0.10273518177724839,-0.1508239278462688,-0.23878731813625287,-0.307724758830943,-0.18776106809062623,0.005669744015734306,-0.1255548756358462,-0.20338089479308533,0.03401872621541349,-0.047290716486737217,0.00734984031681253,0.09592335043026473,0.24477734306608734,0.08673806235689216,0.0062191959328080125,0.00036868465309134146,0.032420036744615764,0.9489533585215764,0.15463218078922888,0.02029689198572359,0.7008018664524984,0.593141921681404
number,0.011223954731905045,0.013487667064775844,0.03238252277669458,0.13677722408292398,0.09851178080176111,0.04820135041923646,0.05234872116984159,-0.01728474106546784,0.130764964621353,0.07212645646735978,0.04710592501086902,-0.11776136392987628,0.8991455728421285,0.8789466016640959,0.714553465020866,0.12072432631921294,0.26481884378118475,0.586036421007311,0.5541798365111814,0.8452461287476137,0.13809423260732612,0.41479280923957074,0.5945885605015131,0.18208388037954018
past,-0.03471508633486654,-0.06361640430729291,-0.031162183936243676,-0.1242418352729554,-0.055345371991193756,-0.06002054905845152,0.00772832017829993,0.09211286980452192,-0.15183582059686077,-0.009140504470505295,0.32344477526528054,0.12409075683381955,0.694978212589831,0.47210274476551606,0.7248701539806803,0.1590255834675367,0.5316958892931504,0.4975548787419609,0.9304595538518203,0.29726211301355004,0.08461983176961481,0.917793620082821,0.00017428882398535568,0.1595370165970641
percept,0.009453059872317255,0.0551973396392841,0.02265088040264171,0.04056624793945371,0.06015306940527723,-0.019681221939566697,0.06488557146904685,0.01784615441245397,-0.05095748254791123,0.030327763936219315,0.17370676672083657,0.09013147278759015,0.9149929707588547,0.5327957587060976,0.7981066100702014,0.646774327543427,0.4966042358666981,0.8241156312789619,0.4632916366069294,0.8402855128303552,0.5647723446821764,0.7319529582298053,0.048099767131953734,0.3078190696574566
posemo,0.6955197186679014,0.6722641993444529,0.6762032595642596,0.3417674921435354,0.6788876361788511,0.6673551329037515,0.6775313018149748,0.44987999362409165,0.3286519653253711,0.6727158482795196,-0.06799097316609233,-0.06453624105923295,4.2155134042037643e-20,1.9999825945075173e-18,1.0662897787687125e-18,6.90228464397721e-05,6.907138761593277e-19,4.321505306317946e-18,8.606554904584896e-19,7.881589153887659e-08,0.00013474299077873887,1.861743060544493e-18,0.4421194041937493,0.46570776592044494
ppron,-0.5739570296511536,-0.530985357534701,-0.5595404387953898,-0.25875632461685955,-0.6339101845537024,-0.5460159726556163,-0.5217488383212835,-0.2740277683643887,-0.22987385370817787,-0.5546320963591462,0.6557849137193689,0.14065429322887368,9.432188639706827e-13,8.097436097509728e-11,4.51210378169553e-12,0.0029530835470792213,5.712574969136944e-16,1.8324433660271722e-11,1.94734414081892e-10,0.0016058741989174788,0.0085138486734772,7.558529710151072e-12,2.5105469744221773e-17,0.11045254298689573
preps,-0.3617491525209217,-0.30198688048023153,-0.2893636608602764,-0.27883570407172825,-0.36588973035731415,-0.38991854223269934,-0.3098637174914993,-0.17013167427044187,-0.24851470088470407,-0.3511959442739514,0.6925619043164204,0.14498231062493494,2.3486983584707583e-05,0.0004797486960059744,0.0008404416015604589,0.0013159788899664536,1.8613801946663142e-05,4.525504442982498e-06,0.0003337547000194358,0.052966096549194625,0.004358120760097933,4.187963861534835e-05,7.02779260512393e-20,0.09980597571867031
present,-0.11978212869443028,-0.06198336927959864,-0.07039149633743305,-0.030158737377586533,-0.09856181733521766,-0.05638865268883651,-0.10260351001005902,-0.04327440036483991,0.04777301001253148,-0.08761405403756926,0.09114871671375195,-0.2109897449211878,0.17464506491827653,0.4835729350772997,0.42613500916819935,0.7333904812856011,0.2645750466307389,0.5239767784253468,0.24538582998837308,0.6249352914080838,0.5893738179964467,0.3215813510046267,0.3023689072084435,0.015969570735844478
pronoun,-0.5692478540487033,-0.5307248481469311,-0.5200932958781386,-0.3214250471348796,-0.6372350144298397,-0.5319655474976839,-0.49901560339135503,-0.20356181935253,-0.21694385712119482,-0.5117243795928443,0.6845856732748606,0.1194362665643269,1.5859435063015498e-12,8.303365663417372e-11,2.2727240527511892e-10,0.00019234493752363487,3.6104210201511468e-16,7.365920479397112e-11,1.514115416200966e-09,0.020183303186131245,0.01316582933539586,4.901170206038135e-10,2.705942600438193e-19,0.17590208778212668
quant,-0.055669030081833104,-0.14743045819661374,-0.07143672071439115,-0.05002507530421294,-0.10467602995317844,-0.05021157264145109,-0.15607145594163627,-0.029173604808776038,-0.004677405636280738,-0.05749644161172638,0.16048532917288189,-0.08701499562960148,0.5292951013653004,0.09415206405569837,0.41928064374318397,0.5719248780196147,0.23592946951977756,0.5704908506488415,0.07619815536122461,0.741787002781026,0.9578786423353713,0.5158429931358992,0.06815463065179483,0.3249138855168763
relativ,-0.17129534460142753,-0.1988642480867337,-0.21985031619383918,-0.07116821996405215,-0.16053305649715974,-0.24290347856663833,-0.14491959828614415,-0.050610892151961274,-0.12459425699422019,-0.12480096660283999,0.511296150806302,-0.07607273681204499,0.05133937082448248,0.023316628072721095,0.011960813487747744,0.4210352725613731,0.06807158262862836,0.005359234286523303,0.09995424738462497,0.5674260837926446,0.1578373271328731,0.15714346621848005,5.094896777874956e-10,0.38966066264332877
relig,0.4843239499605393,0.4900623361633681,0.4052723052762143,0.34932944454449566,0.41875719253229043,0.4606876972835381,0.447067676942834,0.3043230722875688,0.22749240210863378,0.39452132621255065,-0.037592822625014746,0.045497395355651095,5.272472230784805e-09,3.2614583868231406e-09,1.7264904143116601e-06,4.629234698117078e-05,7.112413467186618e-07,3.482588252894726e-08,9.703301261561395e-08,0.00043125374091433204,0.00924162853704473,3.4071816211503673e-06,0.6711031028174705,0.607247631755193
sad,-0.4688999572991202,-0.4881384122713601,-0.4588049732021,-0.1878264631635323,-0.4957043738140134,-0.4429835849151657,-0.4490192564595975,-0.1542381378752126,-0.19020621401621932,-0.4312870374026014,0.1808174067819066,0.10720011090090015,1.8367369634370433e-08,3.835123131035728e-09,4.023275378831402e-08,0.03235867388633345,2.0161715406408515e-09,1.308044833797e-07,8.401158610068381e-08,0.07975645486448792,0.03019160931399869,3.011765956066179e-07,0.039520519142274516,0.22476068370397548
see,-0.15150570089435164,-0.0477640656217374,-0.09337028004723151,0.02974944056067699,-0.09397900449049863,-0.12212129178319861,-0.020971852686209925,0.061048082689597036,-0.0012828431781066122,-0.07144759279889988,0.2511422245734253,0.14792876837537755,0.08530628934418477,0.5894436000963074,0.29068813691935513,0.7368752555061642,0.28754059949405963,0.1663169805020404,0.8127867146202877,0.4902089399274706,0.988442726687971,0.4192096852661782,0.003949747017787517,0.09303293324405265
