Subject_ID,Group,Experimental_condition,achieve,adverb,affect,anger,anx,article,assent,auxverb,bio,body,cause,certain,cogmech,conj,death,discrep,excl,family,feel,filler,friend,funct,future,health,hear,home,humans,i,incl,ingest,inhib,insight,ipron,leisure,money,motion,negate,negemo,nonfl,number,past,percept,posemo,ppron,preps,present,pronoun,quant,relativ,relig,sad,see,sexual,shehe,social,space,tentat,they,time,verb,we,work,you
72,Creative_2,1,16,12,68,0.0,5.0,52,0.0,23,4,0.0,8,2,97,41,0.0,3.0,8.0,0.0,10.0,1.0,2.0,281,0.0,1.0,1.0,1.0,12,35.0,40,2.0,3.0,29,26,13,3.0,10,2.0,8,0.0,1.0,31,20,59,51,82,10,77,4,73,2.0,2.0,5.0,1.0,0.0,74,40,5.0,14.0,24,46,2.0,5.0,0.0
73,Creative_2,1,19,16,48,0.0,5.0,42,0.0,29,4,0.0,8,4,114,49,0.0,0.0,7.0,0.0,1.0,1.0,1.0,348,0.0,2.0,0.0,1.0,12,51.0,58,0.0,1.0,30,35,18,3.0,19,2.0,5,1.0,3.0,28,11,39,68,107,10,103,14,88,0.0,0.0,2.0,2.0,10.0,74,42,6.0,3.0,27,42,4.0,6.0,0.0
74,Creative_2,1,11,12,46,0.0,2.0,60,0.0,24,14,2.0,5,5,107,48,0.0,5.0,4.0,1.0,5.0,1.0,1.0,321,4.0,8.0,2.0,3.0,5,53.0,56,2.0,4.0,27,19,19,2.0,27,2.0,3,0.0,2.0,29,20,42,61,101,8,80,7,116,2.0,0.0,8.0,2.0,2.0,28,52,2.0,1.0,39,43,5.0,4.0,0.0
75,Creative_2,1,18,9,49,0.0,4.0,71,0.0,31,8,1.0,4,8,106,46,0.0,1.0,7.0,0.0,2.0,0.0,1.0,353,1.0,3.0,5.0,0.0,8,36.0,60,1.0,2.0,18,35,13,3.0,25,1.0,4,0.0,2.0,40,22,45,51,108,14,86,12,117,5.0,0.0,7.0,3.0,3.0,50,53,6.0,7.0,30,59,5.0,1.0,0.0
76,Creative_2,1,36,15,63,0.0,9.0,73,0.0,27,13,5.0,20,8,151,58,0.0,7.0,6.0,1.0,6.0,1.0,3.0,361,0.0,3.0,3.0,3.0,8,33.0,74,3.0,4.0,25,23,12,13.0,20,3.0,10,0.0,1.0,29,15,53,55,108,25,78,15,102,3.0,3.0,2.0,2.0,0.0,68,46,4.0,3.0,36,59,19.0,29.0,0.0
77,Creative_2,1,12,21,35,0.0,1.0,48,0.0,23,4,2.0,9,7,119,54,0.0,6.0,7.0,0.0,1.0,1.0,1.0,321,2.0,1.0,8.0,1.0,7,53.0,48,1.0,2.0,37,33,11,3.0,19,1.0,2,1.0,3.0,28,20,31,58,83,10,91,13,129,3.0,2.0,4.0,0.0,0.0,24,58,8.0,0.0,47,44,5.0,4.0,0.0
78,Creative_2,1,13,6,46,0.0,3.0,74,0.0,18,14,3.0,6,4,106,39,0.0,1.0,4.0,1.0,4.0,0.0,4.0,306,0.0,4.0,3.0,4.0,1,8.0,69,6.0,3.0,14,23,16,3.0,24,0.0,3,0.0,1.0,25,20,43,44,101,8,67,10,123,2.0,0.0,5.0,1.0,0.0,59,61,4.0,0.0,36,37,36.0,2.0,0.0
79,Creative_2,1,23,8,46,1.0,3.0,58,0.0,24,9,1.0,11,8,119,42,1.0,5.0,5.0,1.0,3.0,0.0,1.0,340,0.0,5.0,3.0,2.0,7,43.0,60,2.0,2.0,19,26,11,1.0,15,1.0,4,0.0,4.0,44,14,42,72,107,11,98,10,88,3.0,1.0,1.0,1.0,8.0,75,50,4.0,11.0,19,58,10.0,14.0,0.0
80,Creative_2,1,13,12,64,0.0,5.0,51,0.0,25,11,5.0,5,4,97,43,0.0,3.0,7.0,0.0,5.0,0.0,3.0,309,0.0,3.0,9.0,2.0,7,39.0,51,1.0,5.0,19,28,16,4.0,10,1.0,6,0.0,2.0,27,21,57,46,110,16,74,7,91,8.0,0.0,3.0,2.0,0.0,53,49,6.0,4.0,30,49,3.0,2.0,0.0
81,Creative_2,1,26,14,79,1.0,8.0,53,0.0,44,4,1.0,10,6,135,57,0.0,2.0,8.0,0.0,6.0,1.0,4.0,366,0.0,2.0,4.0,0.0,2,50.0,71,1.0,4.0,26,30,6,1.0,24,1.0,11,0.0,1.0,40,20,67,71,100,13,101,12,101,1.0,2.0,5.0,0.0,0.0,51,54,7.0,4.0,22,65,17.0,7.0,0.0
82,Creative_2,1,14,6,55,0.0,4.0,60,0.0,21,7,2.0,6,2,101,37,0.0,1.0,8.0,0.0,7.0,1.0,0.0,318,0.0,3.0,2.0,0.0,14,48.0,50,0.0,1.0,32,22,7,0.0,13,3.0,7,0.0,1.0,34,21,45,59,101,5,81,18,73,0.0,3.0,9.0,2.0,2.0,54,47,2.0,5.0,14,41,4.0,1.0,0.0
83,Creative_2,1,23,16,55,0.0,4.0,65,0.0,29,11,2.0,7,9,119,42,1.0,4.0,11.0,0.0,6.0,1.0,5.0,363,1.0,9.0,0.0,0.0,3,39.0,47,0.0,4.0,32,42,4,2.0,28,2.0,6,0.0,2.0,32,21,48,63,100,17,105,13,104,3.0,0.0,7.0,0.0,0.0,49,46,11.0,5.0,32,54,19.0,9.0,0.0
84,Creative_2,1,10,14,47,1.0,2.0,49,0.0,19,5,1.0,10,5,113,41,0.0,2.0,5.0,0.0,2.0,0.0,3.0,325,1.0,2.0,0.0,0.0,6,57.0,51,2.0,4.0,27,21,10,1.0,31,2.0,5,1.0,3.0,34,15,42,71,100,8,92,18,125,0.0,2.0,5.0,0.0,0.0,47,61,8.0,4.0,32,45,10.0,3.0,0.0
