LIWC Feature,Extraversion correlation,Agreeableness correlation,Conscientiousness correlation,Neuroticism correlation,Openness correlation,Writing_Extraversion correlation,Writing_Agreeableness correlation,Writing_Conscientiousness correlation,Writing_Neuroticism correlation,Writing_Openness correlation,Word_Length correlation,Story correlation,Extraversion p-value,Agreeableness p-value,Conscientiousness p-value,Neuroticism p-value,Openness p-value,Writing_Extraversion p-value,Writing_Agreeableness p-value,Writing_Conscientiousness p-value,Writing_Neuroticism p-value,Writing_Openness p-value,Word_Length p-value,Story p-value
cause,0.04526960404953005,0.08166998776310502,0.10600563639391161,0.08686636937376992,0.17249285886545612,0.07834926738859184,0.028198625443515944,0.11607511911469337,0.07690165198251699,0.13067749397284775,-0.2145223907063375,0.025687414657149892,0.6090499118014255,0.35562592896144507,0.22999867576217234,0.3257441129321277,0.049708707170988,0.3755882639441952,0.7501270060124856,0.18846691099906604,0.3845004304855357,0.13836029300064842,0.014249456360693108,0.7717391544241278
certain,0.011737979558052598,0.018874039156260545,0.04428109744243479,-0.025268176867160347,-0.0031498174872898327,0.004012754197401147,0.03186560535598479,0.08563010519752838,-0.0224033464475588,0.0018933735907952214,-0.06419718330535229,-0.08298293491250738,0.8945528142079728,0.8312195418426988,0.6168980447665245,0.7753648462035273,0.9716278833951901,0.9638596340869862,0.7189172968891959,0.33270265961948897,0.8002665579264086,0.9829430865784293,0.4680594453493149,0.34791916537412804
cogmech,0.08418246920469984,0.05087290706252755,-0.02019928463222222,-0.04655663454724164,0.06175022342943422,0.07040501857885448,0.04518947238746297,0.033945296550493706,-0.04865120443147949,0.13283738143336277,0.3992248790720307,-0.11103961630673881,0.34097059285433073,0.5654193694346099,0.819563681455406,0.5988980534455914,0.4852226199608858,0.4260459226819856,0.6096844705671138,0.701416979250892,0.5825407593478018,0.13190390148621756,2.538049227689753e-06,0.20849592079083434
conj,0.06630030421870585,0.043325391289325985,0.06416016429473756,-0.08693052346235379,0.006161716201845813,0.09939070323225432,0.04132021104653173,0.030496505332932827,-0.05673498067050226,0.07113373003237079,0.43779008146030446,-0.11815912033849697,0.45357763473384904,0.6245271188747039,0.4683165994539995,0.32538558062728784,0.9445307418208924,0.2605586346726449,0.6406629150714516,0.7305187870947241,0.5214269499170954,0.42126096947893243,1.9016252015408738e-07,0.18060160440107728
death,0.02755759388828592,-0.07982509066218152,-0.06412084269435653,-0.018575366675893348,-0.11342801832993812,0.051809995239413986,0.02823506221523475,0.03305421202406697,-0.015229577063310401,0.02875814152350971,0.251843451639852,0.011401111001235942,0.7556262475736706,0.366633413275236,0.4685898332425482,0.8338516101086632,0.1988136418513883,0.5582701305094042,0.7498147981542597,0.7088968138493714,0.8634557860197768,0.7453372891561905,0.0038467328331415105,0.8975623150570513
discrep,-0.06818264920255247,-0.11569686151919416,-0.14463685644617807,-0.07572312529091171,-0.13452855120301765,-0.008397269754095545,-0.07042822841467136,0.031754981010001904,-0.06893149638850093,0.01371777044997562,0.07254971658227649,0.10638406655170846,0.4408307651992429,0.18992087903176283,0.10062489460099967,0.39184951476665786,0.12701167787821163,0.9244573538406098,0.42589303795587474,0.7198523741560644,0.43581670245778215,0.8768975325191191,0.4120527758569916,0.22832998738638766
excl,-0.0784620226194,-0.07099011749110626,-0.12106829369362258,0.05725330309230335,-0.13469189166737988,-0.013874935875094497,-0.037452509609274896,0.0184741248984783,0.02324922285194522,0.00617877195452702,0.2915263595260399,0.3844951985849687,0.3748994262591182,0.42220150219234787,0.17002867678169972,0.517622642298837,0.12654665616986197,0.8754984430283708,0.6722598682404053,0.8347442283009541,0.79289188829196,0.9443774475146323,0.0007648411158626826,6.288621494135741e-06
family,-0.018305858731900028,-0.0664723197249027,0.06004945738223438,-0.04411889499731971,0.018151714060127846,0.010601911629513884,-0.040630883579062235,0.04495689931013945,-0.06089317390356167,0.016637243786051737,0.11533205782604293,0.04266207664985218,0.836228245324955,0.4524043158892064,0.4973474214773703,0.6181900052567761,0.8375882242455199,0.9047079164439127,0.6462494780204769,0.6115278475008159,0.4913126950389338,0.8509749037142412,0.19133085131233601,0.6298456770341493
feel,-0.08840687069067432,-0.07310742152709293,-0.06591287895224729,-0.10701467047080794,-0.17618570573034292,-0.0696102261697892,-0.08532057590314938,-0.0983620586572397,-0.13129192606102527,-0.08037158972785635,0.09844520323197083,0.11622595493269203,0.31720498146718346,0.40845864016824185,0.4562264687237718,0.225568303417226,0.04494824631295606,0.43130033780444343,0.3344596429317277,0.26554926101722953,0.13649960622468307,0.36335108296098406,0.2651434723458074,0.1878893882931537
filler,-0.1261481136479539,0.0004150552220706507,-0.08007040743319703,0.05818600819318266,-0.03708968667234437,-0.041308397334751924,-0.011389682228499159,-0.03856653598026627,-0.04085647725981241,0.025051568641205755,0.07126709440262358,0.14151026216589394,0.1526773675425821,0.9962606067930742,0.3651577614842223,0.510812839336819,0.6752545962999386,0.6407584896385038,0.8976644426939546,0.663096968249159,0.6444189933181554,0.7772400411816416,0.42038864196819103,0.10827946939645493
